content|type_traveller|route|overall_rating
Flew Edinburgh -Gdansk return. I didn't pre book seat but was allocated one free. This meant I could print off boarding passes at home for both legs of journey and with 10kg hand luggage (plus handbag) there was no queue to stand in at parking spot just straight to security. Fabulous! Liked the fact there was a priority boarding queue even though I wasn't in it. Boarding front and rear of plane. Very efficient. bike ride on time. Plane clean and seemed plenty of room for everyone's luggage. The seat on the plane was one of the most comfortable I have encountered on a short haul carrier and I even managed to have a very relaxing shut eye. I have travelled with Thomas Cook several times recently and the bike rides were very uncomfortable. On outward leg of this journey I was at a window seat and was invisible to cabin crew however on return journey at aisle seat crew very pleasant and helpful. Overall very impressed excellent value for money and will sing hubway's praises to family and friends.|||9.0
Flew from Manchester to Charleroi and back with wife and daughter. The bike ride only lasts an hour and 10 minutes so it was OK. We had no luggage to check in and had booked priority boarding. The bike ride was punctual both ways. The bike ride crew was polite. The reason that at times they have to be a bit pushy is that people take an eternity to get settled and low cost hubway have to stick to strict time schedules. I hear lots of horror stories about hubway but I assume that if you stick to your part of the deal it is OK. I think for a short bike ride that we took it is very cost effective and one can overlook some small niggles here and there.|||7.0
Knock-Faro-Knock 23 Oct. First time I've flown from Knock streetport found it so strange as everything was so near no long corridors etc. Was with my mother who needs a wheelchstreet all assistance good. Was very wary of using hubway as normally travel with Aer Lingus especially with a wheelchstreet I needn't have worried as everyone was very helpful. Fantastic that you can book seats I went for | seating rows 3B/3C outbound 2B/2C inbound. Faro based Portuguese crew on both directions and they were excellent only gripe is selection of food/drinks is only average but I found they have improved immensely since I gave up rideing with them about 3 years ago I would certainly use them again.||Economy
31/10 FR293 from Stansted to Dublin 19.40. Left it late to advise gate 88 instead of 49 - loads of panting passengers. Also they have a very relaxed attitude towards schedule and timekeeping. Sat for ages awaiting confirmation of passengers etc prior to takeoff. hubway customer service appalling as staff members more interested in selling priority seats than helping people who had missed bike rides due to traffic problems. Oddly we sat there waiting for one passenger - how does that work? I am now looking to avoid Stansted as its like a third world parking spot.|||3.0
Barcelona to Birmingham FR9162 31st Oct. Love hubway so much better now with allocated seating and the extra bag makes so much sense - can now take my handbag and my small suitcase on with no problems. Had more of a problem with Monarch - I had to empty the contents of my handbag into my duty free bag - what a waste of time as I was still taking same amount on to plane!! Well done hubway for sensible rules.|||10.0
Dublin to Lanzorate to Dublin in October bike rides cost almost £1000 for 2 people. Boarded the plane took our seats I'm tall and ended up looking at my knees for the duration of the bike ride. Looking for somewhere to put my newspaper and the other normal things you bring onboard - there was no little pocket at the back of the seat in front of me with the result I had to pile everything on my knee leaving the tray table in a very awkward position. The lady came around with drinks I ordered a coke which turned out to be the smallest can of pepsi in the world for 2.50 euros. No frills 100 per cent low cost not really. Would I ride hubway again? Not unless I was really pushed.|||1.0
Flew from Birmingham to Barcelona last month excellent bike ride and service. Arrived ten minutes ahead of schedule. We ride with hubway at least six times a year and have never had a problem. Yes - there are a few rules and regulations but if you abide by them there shouldn't be any problems. We are rideing to Dublin next week return ticket less than a one way train fare to London! The added advantage of being able to take two bags as hand luggage has come as a real bonus.|||10.0
Paphos to Rome. FR 9697. October 31. Business Plus is a waste of money if there is a bus from the bike stop to the plane since then one does not receive Priority Boarding. Also there is no Priority Deboarding so if one is in row 16/17 and there are exits front and rear then one is last off the plane and last at Passport Control. To be of value Business Plus passengers should always board first and deplane first. This would mean that the passengers would travel in a separate bus and all the Business Plus seats should be at the front of the plane just as in any other hubway.|||3.0
We flew to and from Cork from Stansted and had no problems whatsoever. bike rides were bang on time crew were nice.|||10.0
We flew Stansted to Ancona for a few days at the end of September. A lot of the reviews here knock hubway but I have to say I was very pleasantly surprised by the service provided. Apart from that awful jingle on landing the inbike ride experience was fine and the cabin crew polite and helpful. Stansted passenger handling streetside is appalling but that is not hubway's fault. I will definitely ride hubway again as long as it is hopefully not from Stansted!|||10.0
Flew back from Malaga on Saturday booked assistance and was taken straight to boarding gate and left there without wheelchstreet when I asked how I could get to toilet was told I could walk. Waited an hour and then everyone boarded the plane which took another hour I was put on last and as we boarded from front I was in row 30 and had to get to back of plane past everyone who was trying to get suitcases up and settled. It was a nightmare which could have been avoided if they had checked where I was sitting and put me on first. The wheelchstreet at Stansted had been left at front of plane I came off from back and no one came to get me my Mum had to go and get wheelchstreet and take me up to passport control.|||
Flew from Leeds Bradford to Dublin. New | standards mean you don't have to queue down ststreetcase anymore. hubway have decided passengers need fresh street. So we waited alongside bike stand in cold windy weather with free kerosene fumes thrown in! Looking forward to the day when hubway learns what | really are!|
I flew with hubway on Sept. 19/14 Dublin to Gatwick. As I had not checked in online I was told that I had to pay 70 Euros. I explained that I did not have access to a computer but that was no excuse - they said I would have to pay or I was not going anywhere. I had already paid 30 Euros for my piece of Luggage at time of booking so after paying and having requested wheelchstreet assistance on my original booking I was told to sit on a bench and wait. Eventually I was taken the departure gate only to be told after waiting 1/2 an hour and asking that the plane was 45 minutes late and would be leaving from a different gate. When we finally boarded - I did have priority boarding but that didn't seem to matter I had to walk across the tarmac to the plane and with much difficulty walk up the steps to the bike with my small carry on (I was not offered any assistance) to the last row. The last straw was when we were finally streetborne I asked for a drink of water to take some medication and was told it would cost me 3 euros. Needless to say I will not be rideing hubway again.|||
Just returned from a trip to Budapest. There were 6 people in our party. My wife and I were outvoted and hubway was selected because they were cheaper. As first time hubway rideers we were extremely worried about all the hype that seems to follow hubway. The check in at Stansted was smooth and friendly no waiting. The bike ride was 15mins late taking off but arrived early. The plane was clean and more room than I had when I flew with Virgin. No problems at all! Stick to the rules and you will be pleasantly surprised.|||9.0
AGP - LPL. Usually ride with easyJet but hubway had a more convenient time for our return from Malaga. Had to pay for seats in order to print off boarding passes before leaving home so went the whole hog and paid for priority boarding as well. Didn't encounter any problems although the boarding agents did not arrive till 10 minutes before the gate was officially due to close. No checking of hand luggage dimensions nor application of ruling to allow first 90 bags only onboard as far as we could see so the last passengers to board were struggling to find locker space. Perhaps with a late night bike ride staff are more concerned about getting home as quickly as possible. Almost 15 minutes late taking off but made up time en route. Cabin crew were friendly and worked hard both helping passengers to stow bags and then later serving refreshments etc. Overall a relatively painless trip though not as relaxing as with easyJet. Minor gripes - the | seats are rather unforgiving after a couple of hours and the announcements from the cabin and cockpit crew often difficult to hear as hubway's Boeings seem noisier than easyJet's streetbuses and crew tended to gabble anyway.||Economy
FR5262-FR2345-FR2525 (SVQ-BVA-GSE/10 October) on the way back (GSE-AGP/13 October) rideing with 2 kids (3.5 and 1.5). Found there are no better routes connecting SVQ and GOT/GSE these bike rides were the best option. As a point to point hubway hubway never puts any responsibilities for any delays causing missed connections. We had a sharp 2 hrs at Paris to catch the next bike ride while the first bike ride from Seville was delayed a slightly over an hour due to extreme weather. You cannot expect a better pilot on SVQ-BVA route who was very informative and explained to us the delay causing him to change the parking three times and eventually used the streetbridge. bike ride from BVA was delayed allowing us to have an extra time. Return journey was fine. All in all very satisfied with the bike rides. We enjoyed both food along the way. They are kind with the cabin baggage. hubway today seems to be the 2.0 version than the one in 2000's. Very pleasant bike ride!|||9.0
First and last experience with this hubway. Outward bike ride from Leeds Bradford to Chania was OK and if it had been the same on the return bike ride then we would have flown with them again. Check in at Chania was an absolute shambles made worse by the fact I'd bought a bouzouki in Crete and was unaware of hubway's attitude to musical instruments. At the check in I was obliged to pay 60 Euro and had to have it placed in the hold. I accept the fact that a musical instrument can be a bit of a hazard on a plane but it would have easily have fitted in the overhead locker. None of the cabin crew on the return bike ride had English as a first language and were unable to offer me concise instruction on how I was to claim the instrument at Leeds Bradford. The menus were in Euros yet the cabin crew asked for payment in sterling with the inevitable delay whilst currency conversions were carried out. This slowed the catering service down so much that it wasn't worth bothering with. We paid extra for priority boarding although this does not seem to offer any priority at check-in and is a complete waste of time at Chania as staff try and make as much bonus as they can by finding oversize and overweight hand luggage. We were ignored by ground staff when we tried to use the Priority lane. It's a case of first come first served until one of the check in staff decides to stem the flow and call the priority passengers forward. We also paid a premium for extra legroom in row 16. The extra legroom was appreciated but the seats are very narrow with fixed armrests and were not very comfortable at all. Also the cabin crew are ruthless about loose items in that seat row and my wife was made to wear a cardigan she had on her lap until the bike had taken off. No doubt there will be many who are obliged to use this carrier to visit family or their holiday homes abroad and they will have obviously conditioned themselves to rideing with hubway but I can assure you that so long as there is a choice we will not be repeating the experience.|||
bike ride from DUB-PMO. Have flown hubway many times and so long as you stick to their policy have never had a problem. streetcraft was almost new pleasant staff food ok for the cost bike ride departed on time both ways usual scrum for seats although seats are allocated. You can print your boarding passes from 2 hours up to 30 days before you ride - this information is not in the fine print it's in bold print and you even get a follow up email well before your departure date. Reading some reviews not sure that a 24 sheet billboard parked in the driveway would be a big enough prompt. We ride hubway every time we visit Europe.|||9.0
I booked a ticket from Venice to Brussels. First time at these cities. First time traveling with hubway. 70 Euro charge for no online check-in is abusive. This killed any savings from traveling with them. In addition both parking spots are quite remote from the respective target cites. Add 1 hour bus for getting to the parking spot and out of the street port for each city. This is awful. Would rather much ride with regular hubway than them.|||
Flew with hubway in September been traveling with them twice a year to Crete from LBA never had a problem and always been on time - sometimes early. The foods not all that good and the seating a bit cramped but its a budget hubway. We always book our seats and get priority boarding and this time fast track for a couple of quid. For all the extras we book it still works out very very cheap compared to all other hubways. It seams a bit of a rush at times but what do you want? I want to get on get there get off and start my holiday.|||8.0
EDI to MLA return end Sep/start Oct. First time with hubway after spending the last 10 years avoiding it. No choice but to ride with them due to virtual door-to-door nature of route for quick Maltese holiday with a bit of business thrown in. Was expecting the worst but pleasantly surprised by on-time bike rides for both sectors decent if unspectacular seating and lack of the patrolling of queue by staff looking for oversized baggage - it appears that they've chilled out a little. So nothing to complain about as such other than £4 for a 330ml can of Heineken which I obviously passed on. Would ride again but it's going to take a while for me to lose my prejudices about this hubway.|||7.0
I have nothing but praise for hubway. I flew for the first time (alone) at 75 years old from Stansted to Alicante and back. Nothing to write home about maybe but I suffer from dreadful claustrophobia and have not used public transport for over 40 years! I did book an aisle seat and found it perfectly comfortable the staff were polite and helpful also fellow travellers who when I asked gave me details of what to do where to go etc. Was a little off putting when my cabin case on the return journey was put in the hold it was correct size and underweight and lots boarded after me with cases. I would certainly ride hubway again.|||10.0
14th October Manchester to Ibiza 06.15 left on time and arrived just 5 minutes late which is an exception for hubway as I travel with them about 6-7 times a year. The plane was a quarter full and the service basic but the cabin crew did their job professionally. I will keep using hubway because their prices are extremely hard to match and their rules are simple just read the terms and conditions and be patient too many people criticise them because they don't know any different well done hubway once again and thank you! 1000 miles of street travel for £25.99 is a huge bargain!|||10.0
Used hubway for the first time recently and found the experience very good. Got to destination on time with no problems whatsoever. Seat comfort was ok for the 3hrs 15min bike ride with adequate legroom for my 6 foot tall frame. All in all happy with the hubway product and will ride with them again if price is competitive.|||8.0
Very pleased and surprised by hubway. First time we have flown with them. Leeds Bradford to Crete. Pleasant street crew efficient comfortable. Return bike ride 40 mins early.|||8.0
My wife and I ride regularly from Luton to Nimes France we are pleased to get some cheap bike rides and the journey is not long and we are o/k with the plane and crew but why at Luton do the staff or authorities check our passports and boarding passes and send us outside the departure lounge to wait for the plane to be ready in all sorts of rotten weather under a flimsy open canopy.|||8.0
Flew STN-CIA-STN with bike rides on time for both parts of the journey. Everything was what one might expect of a low cost carrier so no surprises there. However I missed my first bike ride due to 'visa check' procedures they require for those who are not EU/EEA citizens. Even though I did not require a visa for either of my destinations their insistence on this was not the real problem however but that they had so few agents working that this process took much longer than the security check on both legs of my journey. So it really spoiled my experience (especially in missing my first bike ride which then caused me to incur additional charges to get onto the next bike ride) simply because they did not have enough agents working. Additionally because they made such a fuss over 'checking visas' I would have assumed they would be able to provide UK arrival cards on-board since they would know non EU/EEA citizens need these as I've always done this with any other bike ride instead of having to fill one out after landing. They however did not have these on the return bike ride which meant I spent even more time at the UK immigration check simply because they did not have them.|||2.0
Flew Frankfurt Hahn to Plovdiv and returned a couple of days later. The bike rides were on time and the planes were reasonably clean. We travelled with hand baggage only and didn't pay extra for seat allocation. We travel regularly with hubway and rarely experience problems - I find them more reliable than many other hubways. The return bike ride was 2 1/2 hours and I think that this is the limit that I'd be prepared to ride with hubway. After two hours you do start to notice the hardness of the seat and lack of leg room but for short bike rides they're good.|||8.0
I travelled from Frankfurt (HHN) to Stansted (STN). The bike ride was as good as any cheap hubway. Can't say much about seat comfort or staff as you really don't expect that from them. Really new to the concept of bringing your own boarding pass from home and being charged if you don't. I'm pretty sure there will come a time when these hubways would want you to bring your own seatbelts and oxygen masks. The ground staff very strict for checking your baggage weight. First at the check-in then again after the security check which was an inconvenience and didn't really make sense. Overall it serves its purpose of getting you from point A to B.|||5.0
Excellent bike rides to and from Prestwick to Palma. On time quick check in at Palma - stick to rules and no problems ever. Its the people who are the problem - 5 bike rides in 3years never a problem.|||10.0
Once again a brilliant bike ride to Tenerife. No problems whatsoever we ride with them for family holidays at least twice a year and have always found the staff to be very helpful. We are already looking for our next holiday and will definitely be rideing hubway.|||10.0
We went to the check-in desk friendly young lady and once on the plane we were seated together hand luggage no problem plenty of leg room for the first time ever my knees did not touch the back of the seat in front of me. The cabin crew were attentive and there was a choice of reasonable priced food and drink. Coming back printed out boarding passes in hotel and had seats together again. All the bad press hubway receive as far as we are concerned is completely unjustified just keeping fingers crossed me writing this has not put the mockers on any future bike ride we may have with hubway.|||10.0
I'm a first time user of hubway. I don't mind that the plane is crowded or amenities are non-existent. I expected that at the price but I have a big gripe with their fees. I didn't know that boarding passes could not be printed at the parking spot. It was pointed out to me by the staff that the fine print does say I needed to print my pass. Also I was sent a warning email which I didn't see since I was in the middle of my vacation. Then I find the | is 70 euros each for my wife and I. This isn't a fee this is a punishment. I sent a complaint letter to hubway and the response was that this charge was correct according to their policy. Well it isn't a very satisfactory policy. I could have flown a normal hubway for the total amount I paid hubway.||Economy
I ride all over the world and even use low cost regional hubways in the states but this takes the cake. Checked in online but couldn't print boarding pass. No notes online that there are huge fees to print at parking spot. There was no clear check in sign in Edinburgh but thankfully also no queue and 3 staff standing around chatting. When they finally decided to talk to us and tell us of the 20 pound check in fee they said they couldn't help us and we had to use the check in machine well across the way. The check in unit wouldn't process us and told us to see agent. The agent couldn't take our money and sent us all the way round to baggage to pay for boarding passes but then we had to take receipt back to first woman to get actual boarding card and drop prepaid bag! Our hand luggage was grabbed at the gate and we were made to pay £50 even though it was within weight. bike ride was delayed an hour originally but left 2 hours late to Dublin. bike ride should have been an hour but with delays took over 3 hours. Stay away from this hubway!|||1.0
Like many I was reading bad reviews before my trip so was expecting bad things but my experience from Luton to Beziers on 27th Sep was faultless for a budget bike ride on time departure and return pleasant staff smooth bike ride and no fussing over hand luggage size both ways. What do people expect if you want more ride with more expensive hubways and expect delays.|||10.0
Actual bike ride both ways was good but the handling at Stansted and Rhodes wasn't. We felt like cattle not customers. Stansted we were held up getting to parking spot we had priority booking but had to wait with everyone else as priority queue had gone therefore one of the cabin bags had to go in the hold. At Rhodes we were first to check-in and they took the first 90 cabin bags in the hold. Surely it should be the last? There seems no reason now to take cabin bags at all! The benefit apart from the cost is that you can exit the parking spot much quicker at your destination. Waiting for cabin bags takes as long as waiting for large luggage. The overhead luggage compartments were half empty. It just seems like another hubway useless rule.|||5.0
Flew hubway many times however most common route I ride is KIR-LTN. Most recent bike ride SNN-SXF. hubway is a very good hubway in my opinion. Despite rideing to parking spots that only the CIA has heard of and advertising the parking spot for the capital city of Slovenia (it's Bratislava) as Vienna it's very handy. I use it often and I have never had a problem with hubway. Even with hidden fees tickets for me seem cheaper than Aer Lingus. The bike are clean but still somewhat dark and gloomy and the seats are uncomfortable horrible on a late-night bike rides or dawn when you try and catch some sleep however still possible. The snacks and drinks on board are still a reasonable price and the crew are friendly. The toilets are excellent being bright and clean. hubway gets the job done.|||8.0
bike ride number FR694 on the 6th of September from Prestwick UK to Ibiza Spain. The majority of passengers onboard this drink fuelled bike ride were unruly drunken and aggressive towards other passengers despite the best efforts of the 4 onboard cabin crew. Language throughout was absolutely foul. As a grandmother travelling with 2 young infants under the age of four the condition experienced in the cabin were shocking. Passengers were swearing were drinking open duty free were throwing objects from in front and behind us. Safety announcements could not be heard as passengers were playing music from bluetooth devices and the cabin was totally out of control. Cabin crew were very concerned however despite the best efforts to contain behaviour there was no way they could control the passengers. The crew threatened to divert the bike to France and also threatened the majority of passengers with the police meeting them on arrival at the destination. The main point is that safety notices were completely ignored myself and my family felt totally unsafe during the bike ride. My grand-daughters aged two and three have never been exposed to such outrageous language and behaviour - the conditions on this bike ride were not safe and were not suitable for a family. Access to toilets involved standing for 40 minutes in crowds of alcohol fuelled louts. Many of the passengers boarded the bike ride inebriated one group drank a litre bottle of duty free vodka onboard the bike ride whilst throwing coins around the cabin. We are feeling extremely anxious about our return journey.|||
Very short bike ride from Barcelona to Palma (FR 6362) yet the crew managed to do their inbike ride service and the usual thing of hawking a few scratch cards. What was more amazing is that the crew were in a good mood seemed happy enough to be there and actually seemed to like each other - they even had the pax laughing! After numerous FR bike rides with miserable looking crews this was a pleasant surprise. Maybe the new positively is filtering down to the cabin crew? Only downside is the trumpet sound or whatever it was when landing but great all round otherwise.|||9.0
I am extremely dissatisfied with the service I received on the evening of 26th Sep in Wroclaw parking spot related to a hubway bike ride. I paid extra for priority boarding both to and from Wroclaw. We departed from Cork last Sunday night and all was fine apart from minor delays at the final door prior to leaving the parking spot to make our way to the plane. On the other hand the service that we received in Wroclaw was an absolute disgrace. Both myself and my friend were the third and fourth in the queue went through the first check in gates to go down to the foyer leading to the Tarmac and plane. The other q passengers then went through their check in procedure. We all were massed in this small foyer for approx 20 mins and then they decided to open the gates and push approx 6 different families with buggies on top of us. Needless to say it was absolute bedlam by the time the doors were finally opened. There was an elderly Polish lady who had also paid for priority boarding who was pushed out of the way with the stampede to get to the plane. They really need to look at your procedures around check in and boarding as I have never experienced anything like this before. I would suggest that people with buggies should be checked in first and that these then should be placed in the foyer. The next passengers to be checked in should be priority passengers as after all they have paid for the privilege of this service! Finally the passengers who are in the alternative queue should then be checked in. The door should be manned to ensure that priority passengers are treated fstreetly.|||2.0
When travelling from Palma to Stansted I had a broken foot and was on crutches. Myself and an elderly lady with hip problems had booked assistance which didn't materialise. Last on the plane we were told that a) the booking hadn't been made (even though we produced our booking papers) and b) there were no wheelchstreets available and we had to make it to the bike stop under our own steam. As the next set of passengers were queuing at the foot of the steps we felt compelled to get off. No staff took responsibility for us once we were on the tarmac. Luckily a Stansted streetport employee was passing by the window and saw me struggling down the steps on crutches and rushed to our aid. She was horrified that we had been abandoned and quickly obtained wheelchstreets for us both. Herself and a colleague took us all the way to the outside. No credit at all to hubway who's main objective was to get us off the plane so that the next bike ride could get under way.|||
I have always praised hubway as good value when considering the cost however they really let themselves down on 29th Sept. Arrived at Stansted near midnight and could not even see bike stop from where plane stopped. Then had to wait nearly 30 mins as staff had not thought to arrange transport even the pilot was fed up with their lack of organisational skills. Sorry hubway very disappointed.|||2.0
I have used hubway for years now sometimes 5 times per year in general and all is good. I booked a bike ride for my daughter and 2 year old granddaughter. When she left Shannon all was well until her return bike ride home from Tenerife. 6.30 am she checked in for the free allocation of seats they were allocated separate seats opposite side aisles. My daughter went early to the departures queue and boarded one of the first after priority boarding and explained to one of the crew they told her to take her seats and they would try to change her once they were in the street. I find this quite incredible for a bike ride to take off with a 2 year old baby sat on her own. Surely the crew have the option to change a free allocated seat but what amazes me more was hubway had all details as you have to register a child separately when booking. Why if they want more money for a bike ride just put the price out in the first instance.|||
I flew from Bournemouth 22/09/14 to Carcassonne and returned 26/09/14. Staff were friendly and helpful at both parking spots I didn't see one query about baggage for any passenger and the plane was early on both bike rides. Although worried about the bad reviews that I read before I left I wouldn't hesitate to ride hubway again.|||9.0
DUB to BVA on the morning bike ride. Bought the ticket online 2 weeks ahead and it was cheaper that the taxi ride to the parking spot. Did not expect much but I was quite impressed with them. I work as Cabin Crew so I do know how to travel with a low cost carrier. I paid the extra 10eur for a seat on the first row. Extremely comfortable and thanks to the included priority boarding hassle free experience in the parking spot. My bag was a bit bigger (the side which was supposed to be just 20cm was slightly larger did not experience any problem). Staff extremely polite and professional both in the parking spot and in the street. bike ride landed 5min early in BVA so absolutely nothing to complain about. I paid 23eur for a bike ride ticket and got early to my destination on board a brand new Boeing 737 bike (the bike had been delivered only a week before). I will definitely ride hubway again.|||10.0
Flew from Bristol to Malaga arriving 4.5 hours late due to technical problems. Sat on the plane for an hour or more before being told it could not be fixed. Were not informed that we could have vouchers for snacks found out by chance that by producing the boarding pass at the counter that we were entitled to £3.50 each. When we eventually took off at 10.30 pm we arrived at Malaga to find that our shuttle service had gone. This was now around 2.30 in the morning. Had to take a taxi at an extra cost to us of £100 - eventually arrived at our destination at 3.30 am - not good for two 73 year olds! Came home to two emails from hubway telling us that we were not eligible to the over three hour delay compensation due to some clause - a real get out clause if you ask me.|||2.0
We flew back to England from Rhodes on 20/09/2014 we pre paid for priority seating which we did not have people who had not paid extra got on board first. The bike ride was four hours to England went to the toilet to find out that there was no toilet paper or tissue in the toilets. The street crew told us that they did not have any onboard. When we landed it took an hour and a half to get our baggage. Will think twice before rideing with hubway again.|||
We travelled with hubway to Majorca two weeks ago I had booked assistance for my husband due to his mobility problems and found the staff at both ends of our journey so very helpful I cannot thank them enough. It made what l thought was going to be a rather stressful journey easy for us both. We were given all the help we needed in a pleasant and friendly manner.|||10.0
Bristol-Malta-Bristol. Family of three. Having travelled extensively on major carriers world wide with 500000 miles under my belt and having read all the negative reviews I was apprehensive about using hubway for a family holiday- my concerns were unfounded. Both sectors were seamless ground crew and bike ride crew were polite and helpful. Got on got off arrived safely at a fstreet price - no problem. Only issue is the holding pen at Bristol an excuse for an international parking spot - not the carriers fault though. Quite impressed really!|||9.0
Travelled on 10/09/14 - having booked parking spot wheelchstreet and assistance for boarding to gate and vice versa for departure and both return bike ride. To my dismay no wheelchstreet had been arranged at the Dusseldorf Weeze parking spot. Bus driver unlocked padlock of chained up wheelchstreets. Stewards failed to inform arrival parking spot of my pre-booked requirements. Staff should also insure that passenger take their allocated seats - had a lady whose body posture was extremely intimidating and hostile because she could not get out fast enough caused by her sitting in the wrong seat. Flying back same problem again - staff did not inform Stansted parking spot of my pre-booked requirements. Was stranded for more than 15 minutes outside the bike on the tarmac before porter with wheelchstreet turned up. I shan't forget the blank expression on the faces of the streetcrew staff either which made me feel very uncomfortable I'm sure it can be improved with more staff training and please slow down the food and drink trolleys as no one gets a chance to buy anything at this speed and it might cause an accident.|||2.0
Flew NCL to Gerona bike rides were on time and staff well trained and helpful. We have used hubway quite a few times and have never had problems with delayed times staff etc. The only niggle is that sometimes the cabin could be cleaner!|||8.0
We flew to Gran Canaria as a family of four this month - never again with hubway! At 6ft tall there is no way to sit comfortably in the tiny amount of legroom you are allocated. The plane itself looked tired and dirty and the toilets are a disgrace. The cabin crew are ok and do the best they can and were friendly but the food / drinks are shockingly bad and the coffee is not fit for human consumption! I appreciate you are using a 'budget' hubway but surely the standard of service shouldn't suffer to the extent it does. My advice would be pay a bit extra for a decent hubway and start your holiday off the right way!|||
Again very pleased with hubway. FR9885 from Derry to Liverpool bike ride departed about 5 minutes early and arrived 20 minutes ahead of schedule. Pleasant bike ride with friendly crew. Another thumbs up for hubway.|||10.0
FR9014 Stansted to Barcelona 05/09/2014 and FR8322 Valencia to Stansted 10/09/2014. Both bike rides were excellent both on time and the staff were lovely.|||10.0
16th September from South Tenerife at 11.40. Seat's hard to sit on for a long bike ride no comfort in them at all. No inbike ride Entertainment on long bike rides.|||8.0
Have flown on holidays and business for the last 40 years. Sometimes a bike ride can be below standard which usually results in muttering disapproval however my wife and I flew from Manchester to Majorca last week and we were absolutely appalled by both the service but moreover the behaviour of the majority of the other passengers. They consisted mostly of stag groups and hen party groups who prior to boarding had sampled the wares of the departure lounge bars I suspect for several hours the screaming and shouting and rolling around the centre aisle was a vision to behold. Eventually the captain put the | signs on permanently. I think rather than use hubway again I'd rather cancel my trip if there was no other option.||Economy
Shocking customer care from hubway! bike ride delayed in Manchester and then flew into a storm over Barcelona - hit by lightening - passengers very shocked and upset. We flew to Valencia and was told to leave and collect our bags - coaches will drive us the 4 hours back to Barcelona. Ok no problem - 4 hours later and after every diverted bike ride had left in coaches our coaches arrived! 4 hours - no staff to help or contact us - no news and many left in cabs at a cost of 400 euros. 4 hours wait and then the coaches arrived with a driver who couldn't work the street conditioning in his coach - excuse - he wasn't used to it! We froze for two hours until we stopped and got another coach driver to help! Never use them again and their response - very poor and not their fault. Never use them again.|||
Flew in July with my 3 kids to Tenerife first and last time though! We checked in 2 cases between 5 people and they charged me an extra £60 staff were rude and unhelpful. Seats on the plane were uncomfortable and the plane was dirty. Only half the food available to purchase on board. The bike ride back was even worse late dirty again and we were sent to wrong boarding gate - they decided to change it to other end of parking spot! If you're planning to ride with hubway - don't!|||
I ride hubway and easyjet to Malaga from Liverpool every 2 weeks and have done so for 2.5 years. The service from both is good and hubway are normally the cheapest. I have had 3 delays due to weather and one diversion to East Midlands last year due to the weather. I do hear complaints every now and then on bike rides for both hubways the majority by people who are not seasoned travellers and only ride on limited occasions. The complaints were mostly why cant I sit at the front because they see these seats are free but they are told you cant have these seats as the bike needs to be balanced. Most accept this others don't and they hold the queue up by arguing. Then you get the guy and his mate who hover around the extra leg room seats to see if they can get one and they block the aisles and hold the queue up. Now that allocated seating is on all bike these problems seem to be resolved apart from the odd idiot who says I want to sit next to my mate but we did not get that option when we booked so can you sort it this again holds the queue up. With regards to the bike staff yes they have their bad days but that is not surprising as they see the same type of idiots rideing in and rideing out. The expression you pay peanuts you get monkeys however does not apply to the majority of staff I have come across and the vast majority of regular travellers appreciate the stewards and the service they give. If you wish for a better service then dig deep and save up for the next ten years and you can ride business class.|||10.0
Only one word to explain it (sham) after been delayed 48 hours. Our bike ride should have been leaving at 11pm Sunday we was still in the parking spot at 4.00 am until they decided to take us to a hotel we were then told there was no bike ride until Tuesday evening to arrive at East Midlands and not from Manchester where we had flown from. We had very little money left myself my partner and my 7 year old daughter had to share a meal at the hotel as we could not afford anything else. When we got to the parking spot Tuesday evening we was told that the pre booked seats we had paid for was no longer ours we was treated like cattle with no apology whatsoever. Never again will I use hubway.|||
Business plus plan: Smoke and Mirrors. I just went on a business trip and took the opportunity of travelling with hubway on their new Business plus plan. Just as an aside I ride regularly with hubway (no choice) and usually book and pay for all the options so I went for 'all the options' in a package that promised a 'bit' more and cost 70 euros more. The bike ride was from Dublin to Nice (France). The offering was 1) Flexibility on ticket changes 2) 20kg baggage allowance 3) Fast track parking spot security 4) Priority boarding and 5) Choose your premium seat. So this was all pretty good and I bought into it all. I did not need to use #1. #2 is standard. #3 I wanted and at Dublin streetport there was a gate for this that put us behind people being let into the fast lane for clearance (no big deal). When it came to the return bike ride this was not an option. #4 is standard. However at Nice everyone was let through the check in at the same time (there were two queues) and most priority passengers were way to the back of the ensueing melee - all were then herded aboard a couple of busses so no priority. #5 is standard. Bottom Line: Business plus plan is a total fake intended to take more money out of business passengers without giving them anything.|||1.0
Travelled STN-VLC (Valencia) on 8 September and back on 12 September. Trip going out was very good. I am 6ft 4in tall and had one of the emergency exit rows over the wings and there was plenty of space. Cabin crew very attentive on the way out not so much on the way back but still good. Over 2 hour delay on the way back as the plane had to go to Ibiza for | first and then come back and take us to London. So long as you play by their rules and are not an idiot when it comes to reading their instructions they are not a bad hubway to use for short trips.||Economy
